sample id,experiment,"time point, d",injection method,tissue,genotype,eartag (in vivo) / passage (in vitro),initial number of cells,"lung weight, g (in vivo) / cells (in vitro)",spike-in added,notes
LS01_31,2,21,intravenous,lung,Rag1-/-,SK2.4.5,200000,0.427,TRUE,none
LS01_33,2,21,intravenous,lung,Rag1-/-,SK2.4.7,200000,0.778,TRUE,none
LS01_34,2,21,intravenous,lung,Rag1-/-,SK2.4.8,200000,0.265,TRUE,none
LS01_18,2,21,intrapancreatic,pancreas,C57B6/129S F1,SK2.3.2,1000000,0.869,TRUE,none
LS01_19,2,21,intrapancreatic,pancreas,C57B6/129S F1,SK2.3.3,1000000,1.836,TRUE,none
LS01_20,2,21,intrapancreatic,pancreas,C57B6/129S F1,SK2.3.4,1000000,0.6322,TRUE,none
LS01_21,2,21,intrapancreatic,pancreas,C57B6/129S F1,SK2.3.5,1000000,1.335,TRUE,none
LS01_22,2,21,intrapancreatic,pancreas,C57B6/129S F1,SK2.3.6,1000000,1.239,TRUE,none
LS01_24,2,21,intrapancreatic,pancreas,C57B6/129S F1,SK2.3.8,1000000,1.015,TRUE,none
LS01_25,2,21,intrapancreatic,pancreas,C57B6/129S F1,SK2.3.9,1000000,0.787,TRUE,none
LS01_26,2,21,intrapancreatic,pancreas,C57B6/129S F1,SK2.3.10,1000000,1.196,TRUE,none
LS01_08,2,21,intrasplenic,liver,C57B6/129S F1,SK2.2.1,1000000,3.928,TRUE,none
LS01_09,2,21,intrasplenic,liver,C57B6/129S F1,SK2.2.2,1000000,3.189,TRUE,none
LS01_10,2,21,intrasplenic,liver,C57B6/129S F1,SK2.2.3,1000000,4.2,TRUE,none
LS01_11,2,21,intrasplenic,liver,C57B6/129S F1,SK2.2.4,1000000,4.257,TRUE,none
LS01_12,2,21,intrasplenic,liver,C57B6/129S F1,SK2.2.5,1000000,4.0018,TRUE,none
LS01_13,2,21,intrasplenic,liver,C57B6/129S F1,SK2.2.6,1000000,3.467,TRUE,none
LS01_14,2,21,intrasplenic,liver,C57B6/129S F1,SK2.2.7,1000000,4.385,TRUE,none
LS01_15,2,21,intrasplenic,liver,C57B6/129S F1,SK2.2.8,1000000,5.263,TRUE,none
LS01_16,2,21,intrasplenic,liver,C57B6/129S F1,SK2.2.9,1000000,1.226,TRUE,none
